"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Other Industrial Processes","VA","51","Isle of Wight","093","PM2.5 Primary (Filt + Cond)","CAP","150.2001739","TON"
"Miscellaneous","VA","51","Essex","057","PM2.5 Primary (Filt + Cond)","CAP","149.97727788","TON"
"Other Industrial Processes","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","149.245555923","TON"
"Fuel Comb. Other","VA","51","Bedford","019","PM2.5 Primary (Filt + Cond)","CAP","148.54784474","TON"
"Waste Disposal & Recycling","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","147.37328535","TON"
"Other Industrial Processes","VA","51","Hopewell city","670","PM2.5 Primary (Filt + Cond)","CAP","144.051084885","TON"
"Fuel Comb. Other","VA","51","Rockingham","165","PM2.5 Primary (Filt + Cond)","CAP","143.2450592","TON"
"Other Industrial Processes","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","143.1293","TON"
"Other Industrial Processes","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","142.435597114","TON"
"Waste Disposal & Recycling","VA","51","Pittsylvania","143","PM2.5 Primary (Filt + Cond)","CAP","142.07617","TON"
"Fuel Comb. Industrial","VA","51","Pulaski","155","PM2.5 Primary (Filt + Cond)","CAP","141.95694363","TON"
"Miscellaneous","VA","51","King and Queen","097","PM2.5 Primary (Filt + Cond)","CAP","140.91943907","TON"
"Fuel Comb. Elec. Util.","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","140.2539441","TON"
"Miscellaneous","VA","51","Richmond city","760","PM2.5 Primary (Filt + Cond)","CAP","137.9084357","TON"
"Fuel Comb. Industrial","VA","51","Danville city","590","PM2.5 Primary (Filt + Cond)","CAP","137.6473052","TON"
"Fuel Comb. Industrial","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","137.136529545","TON"
"Off-Highway","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","136.9867940614870000026479","TON"
"Miscellaneous","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","134.7570383","TON"
"Fuel Comb. Other","VA","51","Pittsylvania","143","PM2.5 Primary (Filt + Cond)","CAP","134.145938495","TON"
"Fuel Comb. Other","VA","51","Prince William","153","PM2.5 Primary (Filt + Cond)","CAP","134.11048252","TON"
"Fuel Comb. Other","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","131.55980805","TON"
"Fuel Comb. Industrial","VA","51","Roanoke city","770","PM2.5 Primary (Filt + Cond)","CAP","129.3406345","TON"
"Off-Highway","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","128.69815499068600002194787681","TON"
"Fuel Comb. Other","VA","51","Franklin","067","PM2.5 Primary (Filt + Cond)","CAP","128.36422152","TON"
"Waste Disposal & Recycling","VA","51","Albemarle","003","PM2.5 Primary (Filt + Cond)","CAP","128.06559","TON"
"Highway Vehicles","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","126.21011814","TON"
"Fuel Comb. Industrial","VA","51","Montgomery","121","PM2.5 Primary (Filt + Cond)","CAP","125.7691124975","TON"
"Fuel Comb. Other","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","125.19960125","TON"
"Miscellaneous","VA","51","Highland","091","PM2.5 Primary (Filt + Cond)","CAP","125.13305006","TON"
"Other Industrial Processes","VA","51","Sussex","183","PM2.5 Primary (Filt + Cond)","CAP","124.826758","TON"
"Miscellaneous","VA","51","Alleghany","005","PM2.5 Primary (Filt + Cond)","CAP","124.54733532","TON"
"Fuel Comb. Other","VA","51","Henrico","087","PM2.5 Primary (Filt + Cond)","CAP","123.0659975","TON"
"Miscellaneous","VA","51","James city","095","PM2.5 Primary (Filt + Cond)","CAP","122.7861983","TON"
"Other Industrial Processes","VA","51","Loudoun","107","PM2.5 Primary (Filt + Cond)","CAP","122.4041105","TON"
"Highway Vehicles","VA","51","Virginia Beach city","810","PM2.5 Primary (Filt + Cond)","CAP","122.2975653","TON"
"Miscellaneous","VA","51","Greene","079","PM2.5 Primary (Filt + Cond)","CAP","121.81078387","TON"
"Waste Disposal & Recycling","VA","51","Spotsylvania","177","PM2.5 Primary (Filt + Cond)","CAP","121.23247","TON"
"Off-Highway","VA","51","Arlington","013","PM2.5 Primary (Filt + Cond)","CAP","120.78871971418000008087247234681","TON"
"Petroleum & Related Industries","VA","51","Buchanan","027","PM2.5 Primary (Filt + Cond)","CAP","119.725872","TON"
"Fuel Comb. Industrial","VA","51","Chesapeake city","550","PM2.5 Primary (Filt + Cond)","CAP","119.259051575","TON"
"Miscellaneous","VA","51","Richmond","159","PM2.5 Primary (Filt + Cond)","CAP","118.09889593","TON"
"Fuel Comb. Other","VA","51","Washington","191","PM2.5 Primary (Filt + Cond)","CAP","115.30317108","TON"
"Other Industrial Processes","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","113.683380187","TON"
"Fuel Comb. Other","VA","51","Frederick","069","PM2.5 Primary (Filt + Cond)","CAP","112.95908566","TON"
"Other Industrial Processes","VA","51","Arlington","013","PM2.5 Primary (Filt + Cond)","CAP","112.88547","TON"
"Highway Vehicles","VA","51","Norfolk city","710","PM2.5 Primary (Filt + Cond)","CAP","112.6236363811","TON"
"Chemical & Allied Product Mfg","VA","51","Hopewell city","670","PM2.5 Primary (Filt + Cond)","CAP","111.954892","TON"
"Highway Vehicles","VA","51","Chesterfield","041","PM2.5 Primary (Filt + Cond)","CAP","110.0367022508","TON"
"Fuel Comb. Other","VA","51","Fauquier","061","PM2.5 Primary (Filt + Cond)","CAP","110.006620275","TON"
"Fuel Comb. Industrial","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","109.81952299","TON"
"Fuel Comb. Industrial","VA","51","Manassas city","683","PM2.5 Primary (Filt + Cond)","CAP","108.29362319","TON"
"Fuel Comb. Industrial","VA","51","Washington","191","PM2.5 Primary (Filt + Cond)","CAP","107.764565275","TON"
"Waste Disposal & Recycling","VA","51","Augusta","015","PM2.5 Primary (Filt + Cond)","CAP","107.46329","TON"
"Fuel Comb. Industrial","VA","51","Greensville","081","PM2.5 Primary (Filt + Cond)","CAP","107.358693936","TON"
"Fuel Comb. Industrial","VA","51","Smyth","173","PM2.5 Primary (Filt + Cond)","CAP","106.65538638","TON"
